Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
"3bdrm Bungalow in Pentville Estate, Lokogoma for sale",1500,3,3,Semi-Furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),VIP,99999999.0
5bdrm Duplex in Sangotedo for sale,305,5,5,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,VIP,300000000.0
"4bdrm Duplex in Victoria Garden City, VGC / Ajah for sale",900,4,4,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,VIP,1000000000.0
Furnished 3bdrm Block of Flats in Fagba Ifako Ijaiye for sale,800,3,2,Furnished,"Agege, Fagba",Fagba,Lagos State,Enterprise,150000000.0
3bdrm Duplex in Ajoke Estate Fagba for sale,125,3,3,Semi-Furnished,"Agege, Fagba",Fagba,Lagos State,Enterprise,150000000.0
"3bdrm Bungalow in Close To Jubilation, Lokogoma for sale",500,3,3,Semi-Furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),VIP,180000000.0
"2bdrm Block of Flats in Abimbola Aduke, Lekki Phase 1 for sale",169,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Vip Gold,200000000.0
Furnished 2bdrm Duplex in Urban Prime Estate for sale,220,2,2,Furnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,VIP,130000000.0
4bdrm Duplex in Sangotedo for sale,242,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,VIP,140000000.0
Furnished 2bdrm Block of Flats in Lekki Phase 1 for sale,1400,2,2,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP,350000000.0
"4bdrm Duplex in Ajah, Abraham Adesanya Estate for sale",287,4,4,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,VIP,180000000.0
2bdrm Block of Flats in Victory Estate Ago for sale,650,2,3,Semi-Furnished,"Isolo, Okota",Okota,Lagos State,VIP,330000000.0
5bdrm Duplex in Zone 4 / Wuse for sale,800,5,5,Unfurnished,"Wuse, Zone 4 / Wuse",Zone 4 / Wuse,Abuja (FCT),Enterprise,850000000.0
Furnished 3bdrm Apartment in Maitama for sale,300,3,3,Furnished,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),Enterprise,600000000.0
5bdrm Duplex in Mabushi for sale,5000,5,1,Unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),False,400000000.0
Furnished 5bdrm Duplex in Guzape District for sale,500,5,5,Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Enterprise,800000000.0
