title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"4bdrm Bungalow in Okoromi. Airport, Benin City for sale",4504,4,6,unfurnished,"Edo State, Benin City",Benin City,Edo State,diamond,"₦ 50,000,000"
"3bdrm Block of Flats in Okabere, Benin City for sale",900,3,3,unfurnished,"Edo State, Benin City",Benin City,Edo State,diamond,"₦ 75,000,000"
Furnished 3bdrm Apartment in Adeniyi Jones Ikeja for sale,150,3,4,furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,enterprise,"₦ 300,000,000"
Furnished 5bdrm Duplex in Adeniyi Jones Ikeja for sale,150,5,6,furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,enterprise,"₦ 650,000,000"
4bdrm Duplex in Maryland Lagos for sale,450,4,5,unfurnished,"Lagos State, Maryland",Maryland,Lagos State,enterprise,"₦ 320,000,000"
4bdrm Duplex in Orchid Lekki Lagos for sale,250,4,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 180,000,000"
4bdrm Duplex in Adeniyi Jones Lagos for sale,150,4,5,semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,enterprise,"₦ 320,000,000"
4bdrm Duplex in Ogudu GRA for sale,500,4,5,unfurnished,"Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,enterprise,"₦ 450,000,000"
"4bdrm Duplex in Lifecamp, Abuja for sale",300,4,5,semi-furnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,enterprise,"₦ 110,000,000"
"4bdrm Duplex in Estate Akwaka, Ruuodomaya for sale",289,4,4,unfurnished,"Port-Harcourt, Ruuodomaya",Ruuodomaya,Port-Harcourt,diamond,"₦ 200,000,000"
6bdrm Duplex in Lugbe District. for sale,600,6,7,unfurnished,"Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,diamond,"₦ 85,000,000"
"Furnished 6bdrm Duplex in Stadium Estate, Rumuomasi for sale",675,6,6,furnished,"Port-Harcourt, Rumuomasi",Rumuomasi,Port-Harcourt,diamond,"₦ 350,000,000"
"3bdrm Bungalow in Goldmind Estate, FHA for sale",750,3,4,semi-furnished,"Lugbe District, FHA",FHA,Lugbe District,diamond,"₦ 65,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,1000,2,2,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 200,000,000"
"Furnished 8bdrm Mansion in Detached, Guzape District for sale",1700,8,8,furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),enterprise,"₦ 2,500,000,000"
"5bdrm Duplex in Estate, Guzape District for sale",2000,5,5,unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),enterprise,"₦ 1,100,000,000"
Furnished 20bdrm Maisonette in Wuse Zone 4 for sale,2074,20,20,furnished,"Wuse, Zone 4 / Wuse",Zone 4 / Wuse,Wuse,diamond,"₦ 15,000,000,000"
"5bdrm Duplex in Judges Quarters, Gwarinpa for sale",1000,5,5,unfurnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),diamond,"₦ 350,000,000"
7bdrm Duplex in Asokoro for sale,600,7,7,unfurnished,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),enterprise,"₦ 1,600,000,000"
3bdrm Block of Flats in Katampe (Main) for sale,300,3,3,semi-furnished,"Katampe, Katampe (Main)",Katampe (Main),Katampe,enterprise,"₦ 150,000,000"
4bdrm Duplex in Ikota for sale,100,4,4,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 130,000,000"
"5bdrm Duplex in Orchid, Lekki for sale",100,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 680,000,000"
"5bdrm Duplex in Mobile Road, Ajah for sale",100,5,5,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 275,000,000"
"4bdrm Duplex in Orchid, Lekki for sale",100,4,4,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 200,000,000"
5bdrm Duplex in Second Lekki for sale,100,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 480,000,000"
